"Planning_Area","Subzone","Subzone_Lat","Subzone_Long","Hospital_Polyclinic","Hospital_Polyclinic_Lat","Hospital_Polyclinic_Long","Duration..min.","WalkTime..min.","WalkDistance..m.","Transfers","TransitTime..min.","Heuristic.Distance..km.","Weekend","Peak.Hour"
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,7.65,7.65,467.24,0,0,0.222793891256877,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,7.65,7.65,467.24,0,0,0.222793891256877,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,7.65,7.65,467.24,0,0,0.222793891256877,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,7.65,7.65,467.24,0,0,0.222793891256877,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,28.77,11.92,753.09,1,13.02,4.43369883876577,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,29.47,16.83,1074.27,1,9.85,4.43369883876577,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.13,7.57,463.55,1,22.32,4.43369883876577,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,27.5,11.92,753.09,1,13.02,4.43369883876577,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,34.55,8.78,531.77,2,21.13,4.43369883876577,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,34.63,7.57,463.55,1,22.32,4.43369883876577,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,28.77,11.92,753.09,1,13.02,4.43369883876577,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,29.47,16.83,1074.27,1,9.85,4.43369883876577,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.13,7.57,463.55,1,22.32,4.43369883876577,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,27.5,11.92,753.09,1,13.02,4.43369883876577,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,34.55,8.78,531.77,2,21.13,4.43369883876577,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,34.63,7.57,463.55,1,22.32,4.43369883876577,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.15,10.45,651.06,0,19.7,4.73352161414705,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.4,5.5,337.53,1,22.13,4.73352161414705,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.92,6.15,378.54,1,21.65,4.73352161414705,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.9,5.5,337.53,1,22.37,4.73352161414705,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,31.92,6.15,378.54,1,21.65,4.73352161414705,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,33.22,13.73,911.98,0,19.48,4.73352161414705,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.15,10.45,651.06,0,19.7,4.73352161414705,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.4,5.5,337.53,1,22.13,4.73352161414705,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.92,6.15,378.54,1,21.65,4.73352161414705,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,30.9,5.5,337.53,1,22.37,4.73352161414705,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,31.92,6.15,378.54,1,21.65,4.73352161414705,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,33.22,13.73,911.98,0,19.48,4.73352161414705,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,22.45,13.5,845.11,0,8.95,5.25512739296439,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,22.85,13.47,877.49,0,9.38,5.6940307283695,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,29.4,10.4,671.35,1,15.92,5.6940307283695,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,22.85,13.47,877.49,0,9.38,5.6940307283695,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,30.72,10.4,671.35,1,15.92,5.6940307283695,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,22.85,13.47,877.49,0,9.38,5.6940307283695,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,29.4,10.4,671.35,1,15.92,5.6940307283695,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,22.85,13.47,877.49,0,9.38,5.6940307283695,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,30.72,10.4,671.35,1,15.92,5.6940307283695,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,12.62,9.22,617.38,0,3.4,0.94131729085989,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,18.02,13.4,859.71,0,4.62,0.94131729085989,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,12.62,9.22,617.38,0,3.4,0.94131729085989,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,13.08,8.47,546.95,0,4.62,0.94131729085989,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,12.62,9.22,617.38,0,3.4,0.94131729085989,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,18.02,13.4,859.71,0,4.62,0.94131729085989,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,12.62,9.22,617.38,0,3.4,0.94131729085989,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,13.08,8.47,546.95,0,4.62,0.94131729085989,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.15,7.37,454.14,0,16.78,3.92530262746354,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,25.65,4.7,308.52,1,17.28,3.92530262746354,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.35,9.55,626.42,0,16.8,3.92530262746354,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.15,7.37,454.14,0,16.78,3.92530262746354,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.35,9.55,626.42,0,16.8,3.92530262746354,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.65,4.7,308.52,1,17.28,3.92530262746354,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.15,7.37,454.14,0,16.78,3.92530262746354,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,25.65,4.7,308.52,1,17.28,3.92530262746354,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.35,9.55,626.42,0,16.8,3.92530262746354,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.15,7.37,454.14,0,16.78,3.92530262746354,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.35,9.55,626.42,0,16.8,3.92530262746354,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,26.65,4.7,308.52,1,17.28,3.92530262746354,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.8,9.2,584,2,19.08,4.25115076162673,0,0
