Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Weekend,Peak Hour
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,18.43,15.53,1011.35,0,2.9,1.57103024884957,0,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,21.3,9.37,560.9,0,11.93,1.57103024884957,0,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,18.43,15.53,1011.35,0,2.9,1.57103024884957,0,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,21.3,9.37,560.9,0,11.93,1.57103024884957,0,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,18.43,15.53,1011.35,0,2.9,1.57103024884957,1,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,21.3,9.37,560.9,0,11.93,1.57103024884957,1,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,18.43,15.53,1011.35,0,2.9,1.57103024884957,1,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,21.3,9.37,560.9,0,11.93,1.57103024884957,1,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,25.18,11.78,738.77,0,13.4,1.59752841394467,0,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,22.68,19.78,1281.5,0,2.9,1.59752841394467,0,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,25.18,11.78,738.77,0,13.4,1.59752841394467,0,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,25.18,11.78,738.77,0,13.4,1.59752841394467,1,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,22.68,19.78,1281.5,0,2.9,1.59752841394467,1,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,25.18,11.78,738.77,0,13.4,1.59752841394467,1,1
River Valley,Institution Hill,1.294015854,103.8375004,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.1,14.37,922.66,1,11.42,2.13927669541679,0,0
River Valley,Institution Hill,1.294015854,103.8375004,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.9,19.38,1232.43,1,8.42,2.13927669541679,0,0
River Valley,Institution Hill,1.294015854,103.8375004,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,28.28,12.43,794.69,1,13.38,2.13927669541679,0,1
River Valley,Institution Hill,1.294015854,103.8375004,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.65,8.6,526.92,1,14.12,2.13927669541679,0,1
River Valley,Institution Hill,1.294015854,103.8375004,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.1,14.37,922.66,1,11.42,2.13927669541679,1,0
River Valley,Institution Hill,1.294015854,103.8375004,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.9,19.38,1232.43,1,8.42,2.13927669541679,1,0
River Valley,Institution Hill,1.294015854,103.8375004,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,28.28,12.43,794.69,1,13.38,2.13927669541679,1,1
River Valley,Institution Hill,1.294015854,103.8375004,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.65,8.6,526.92,1,14.12,2.13927669541679,1,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,22.67,7.83,462.36,1,10.92,2.45919444593411,0,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,27.07,7.83,462.36,1,16.55,2.45919444593411,0,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,31.67,18.53,1165.65,0,13.13,2.45919444593411,0,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,25.15,15.42,971.86,0,9.73,2.45919444593411,0,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,29.83,19.63,1243.69,0,10.2,2.45919444593411,0,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,31.27,22.27,1431.01,0,9.0,2.45919444593411,0,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,22.67,7.83,462.36,1,10.92,2.45919444593411,1,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,27.07,7.83,462.36,1,16.55,2.45919444593411,1,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,31.67,18.53,1165.65,0,13.13,2.45919444593411,1,0
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,25.15,15.42,971.86,0,9.73,2.45919444593411,1,1
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,29.83,19.63,1243.69,0,10.2,2.45919444593411,1,1
