"Planning_Area","Subzone","Subzone_Lat","Subzone_Long","Hospital_Polyclinic","Hospital_Polyclinic_Lat","Hospital_Polyclinic_Long","Distance_km"
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"ALEXANDRA HOSPITAL",1.286829,103.802524,10.7498774954087
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"CHANGI GENERAL HOSPITAL",1.340571,103.949908,12.0066660586244
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,4.45653211100478
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,5.81807291761371
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"KK WOMEN'S AND CHILDREN'S HOSPITAL",1.310712,103.847062,6.90054340044606
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL UNIVERSITY HOSPITAL",1.294064,103.782751,11.2830184423602
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL",1.334271,103.744626,12.1393597437913
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,5.88551456136421
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"SINGAPORE GENERAL HOSPITAL",1.279673,103.836669,10.4131058963688
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,5.69403071377571
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"WOODLANDS HEALTH",1.425362,103.795606,8.16094871540346
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KALLANG",1.316859,103.859038,6.36377089460271
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,5.25512796982911
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG",1.448117,103.822965,8.78764804951748
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0.222794928036748
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - GEYLANG",1.319611,103.887229,7.42461139764201
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,4.73351961365604
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.4336981787409
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - WOODLANDS",1.431026,103.776064,10.1889008664106
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN",1.430583,103.840191,6.47056700308698
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"SINGHEALTH POLYCLINICS - BEDOK",1.327443,103.932362,10.7629932790702
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"SINGHEALTH POLYCLINICS - BUKIT MERAH",1.284206,103.817674,10.3668821205187
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"SINGHEALTH POLYCLINICS - MARINE PARADE",1.302615,103.908394,10.3786124658047
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"SINGHEALTH POLYCLINICS - OUTRAM",1.279985,103.83916,10.3521911192715
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"SINGHEALTH POLYCLINICS - PASIR RIS",1.373674,103.948332,11.28560181201
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,5.84587193141298
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"SINGHEALTH POLYCLINICS - TAMPINES",1.357631,103.946114,11.1662432033382
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"BUKIT BATOK POLYCLINIC",1.352161,103.748974,11.1149188159141
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"BUKIT PANJANG POLYCLINIC",1.383194,103.760973,9.6123598835316
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"CHOA CHU KANG POLYCLINIC",1.382356,103.752076,10.5850414849126
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"CLEMENTI POLYCLINIC",1.312991,103.765878,11.186208135177
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"JURONG POLYCLINIC",1.350189,103.730642,13.1558067337583
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"PIONEER POLYCLINIC",1.338732,103.700228,16.7287196523217
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"QUEENSTOWN POLYCLINIC",1.298751,103.801618,9.64274130723781
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"ALEXANDRA HOSPITAL",1.286829,103.802524,11.1386710984478
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"CHANGI GENERAL HOSPITAL",1.340571,103.949908,11.2346239669299
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,3.67588778654653
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,5.99197443244201
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"KK WOMEN'S AND CHILDREN'S HOSPITAL",1.310712,103.847062,6.93858142570827
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL UNIVERSITY HOSPITAL",1.294064,103.782751,11.8061516477892
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL",1.334271,103.744626,12.8980160076362
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,5.1697172272855
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGAPORE GENERAL HOSPITAL",1.279673,103.836669,10.5255725837179
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,5.76033306933779
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"WOODLANDS HEALTH",1.425362,103.795606,8.7489207592869
