"Planning_Area","Subzone","Subzone_Lat","Subzone_Long","Hospital_Polyclinic","Hospital_Polyclinic_Lat","Hospital_Polyclinic_Long","Distance_km"
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0.222794928036748
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.4336981787409
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,4.45653211100478
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,4.73351961365604
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,5.25512796982911
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0.941314800046546
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,3.67588778654653
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,3.92530517529677
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.25115105161069
"Ang Mo Kio","Cheng San",1.37271474467,103.854095277,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,5.11047619400972
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,1.57877007167142
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,3.2975505595238
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,3.80081395318479
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,3.89463645467321
"Ang Mo Kio","Chong Boon",1.36426476543,103.855652591,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,4.87081403536282
"Ang Mo Kio","Kebun Bahru",1.37346688128,103.839610084,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0.699989339955001
"Ang Mo Kio","Kebun Bahru",1.37346688128,103.839610084,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.80884956846156
"Ang Mo Kio","Kebun Bahru",1.37346688128,103.839610084,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,5.0262454962182
"Ang Mo Kio","Kebun Bahru",1.37346688128,103.839610084,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,5.22368075218583
"Ang Mo Kio","Kebun Bahru",1.37346688128,103.839610084,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,5.53749725946399
"Ang Mo Kio","Sembawang Hills",1.37471512206,103.83076595,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,1.67360768507736
"Ang Mo Kio","Sembawang Hills",1.37471512206,103.83076595,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,4.87019732988287
"Ang Mo Kio","Sembawang Hills",1.37471512206,103.83076595,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,5.43486716760556
"Ang Mo Kio","Sembawang Hills",1.37471512206,103.83076595,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,5.62670697575744
"Ang Mo Kio","Sembawang Hills",1.37471512206,103.83076595,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,6.14262168137972
"Ang Mo Kio","Shangri-La",1.36797210005,103.83839294,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,1.10006443681643
"Ang Mo Kio","Shangri-La",1.36797210005,103.83839294,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.34104974312906
"Ang Mo Kio","Shangri-La",1.36797210005,103.83839294,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,5.22571710211481
"Ang Mo Kio","Shangri-La",1.36797210005,103.83839294,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,5.49931582888703
"Ang Mo Kio","Shangri-La",1.36797210005,103.83839294,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,5.6212072720297
"Ang Mo Kio","Tagore",1.38680551744,103.82833841,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,2.37605714358191
